distance_km,time_min,fare
4.02,41.68,233.87
42.32,7.68,703.67
6.35,85.12,404.01
31.63,105.91,849.03
14.46,25.41,345.29
37.66,97.79,908.08
18.91,94.29,617.24
17.37,112.04,645.26
37.67,91.77,900.14
5.6,108.79,466.38
16.34,107.99,619.2
19.77,6.25,366.48
47.56,70.95,974.98
31.78,56.57,689.4
33.79,91.52,821.32
39.68,95.81,932.52
3.35,68.2,302.11
22.36,107.09,700.84
7.58,92.57,439.99
31.1,16.63,567.78
4.1,99.51,407.95
35.46,14.36,615.93
40.73,113.93,988.63
49.31,91.64,1056.92
38.97,69.22,840.41
21.5,109.23,700.06
1.06,58.9,240.17
3.29,18.66,155.83
37.43,72.09,820.87
48.13,48.11,922.6
11.57,115.77,568.57
1.1,116.54,417.05
4.15,68.69,318.36
48.48,65.16,986.79
23.0,77.17,632.52
29.42,108.63,835.08
14.23,26.63,340.56
23.45,45.64,534.58
48.73,118.41,1137.89
35.06,66.65,783.22
34.39,23.7,633.28
45.59,99.59,1018.99
46.67,104.6,1083.33
2.74,8.03,116.55
49.37,22.3,853.43
29.91,48.8,644.31
21.03,36.44,480.65
3.29,104.44,412.69
38.56,113.65,969.81
42.56,33.45,780.33
47.73,74.71,988.67
11.82,82.25,466.78
6.12,82.23,393.45
26.26,93.82,733.91
27.82,69.51,676.29
43.89,51.4,868.12
35.35,29.49,677.87
7.25,6.67,180.65
19.92,55.31,505.68
45.26,45.05,877.03
20.13,76.54,582.0
43.19,114.19,1022.7
23.23,117.7,751.13
24.88,42.81,544.43
4.26,19.82,174.52
6.84,22.47,220.82
9.5,44.75,323.68
44.89,59.51,892.99
10.02,9.7,230.56
8.86,37.04,293.71
10.71,46.89,347.68
25.42,84.4,679.71
43.74,110.9,1041.02
3.52,36.84,214.63
9.63,29.08,283.82
18.84,60.72,506.96
23.4,90.96,683.09
2.32,34.03,187.97
25.83,66.19,638.0
5.81,56.45,301.58
13.83,48.39,403.44
1.49,42.04,197.19
6.43,107.41,463.61
29.88,83.1,747.44
4.8,66.77,327.08
29.55,90.73,757.5
14.55,46.75,407.72
32.47,70.64,738.5
5.54,22.58,201.97
12.67,23.48,308.65
9.08,108.13,506.18
4.47,65.32,313.86
6.05,50.75,292.85
48.49,104.53,1084.65
8.96,81.89,433.32
46.5,69.03,938.65
38.59,26.51,712.23
16.52,53.93,452.11
6.18,75.22,368.54
14.79,71.84,487.05
26.86,10.96,479.9
17.16,20.46,372.49
13.1,83.37,493.75
38.13,73.5,821.63
17.77,111.9,647.05
41.62,115.98,1026.03
46.95,25.84,826.75
3.79,90.23,381.95
7.42,96.46,451.83
10.48,23.82,279.76
33.43,65.15,743.76
18.26,105.88,649.25
22.24,48.35,526.49
23.4,39.66,520.08
11.99,108.45,564.51
19.5,67.51,546.31
6.29,113.08,487.32
31.57,43.51,656.29
31.19,66.35,713.92
44.75,95.69,1003.69
12.8,90.55,509.28
2.16,70.54,295.43
17.43,99.44,611.8
5.98,102.34,445.51
39.97,22.24,709.26
11.85,88.06,496.21
34.85,67.41,785.49
12.96,44.76,371.94
23.37,113.94,753.48
8.09,72.42,398.11
1.4,105.29,387.37
46.64,69.99,964.19
35.51,22.54,651.73
29.03,74.77,721.07
46.75,111.44,1080.02
22.82,18.02,446.61
29.77,50.89,656.32
3.21,43.55,226.48
27.1,110.78,775.79
17.64,44.9,447.79
11.62,57.03,401.99
7.47,25.28,231.47
45.78,46.68,876.26
29.24,77.71,719.79
4.72,119.64,474.41
25.36,73.47,650.9
10.89,108.28,538.06
10.65,26.93,290.44
28.46,12.56,511.78
38.89,57.13,783.41
20.34,69.36,569.33
8.18,25.92,246.93
32.38,52.0,686.32
1.76,22.96,146.64
1.84,30.53,171.34
11.94,82.27,473.41
32.81,32.39,642.45
5.42,32.96,231.82
41.6,50.68,829.71
33.57,28.57,643.05
1.14,14.83,111.24
10.79,8.05,236.77
21.36,107.66,684.71
40.96,44.31,791.71
29.72,35.83,594.79
31.4,52.08,663.14
15.08,114.07,628.9
38.3,21.11,687.57
44.78,96.98,1023.81
21.55,7.58,397.21
31.86,34.66,621.07
7.4,101.02,464.15
9.0,36.32,294.98
1.41,110.14,402.36
14.07,68.73,462.67
32.75,100.42,844.67
30.23,81.48,755.24
9.18,110.16,508.64
26.19,10.4,467.98
8.73,89.87,451.4
12.64,49.77,385.97
14.79,45.9,405.55
28.54,59.75,664.28
33.35,112.74,880.84
2.04,35.16,187.38
29.96,10.91,545.75
17.05,93.65,586.14
5.78,13.64,177.56
34.58,55.01,746.72
12.7,99.2,541.5
13.97,72.88,482.84
18.37,15.53,371.86
9.66,67.32,399.32
43.71,89.21,978.73
34.77,102.66,889.04
12.86,61.28,428.57
9.44,70.31,403.37
45.82,8.9,755.74
46.26,116.67,1105.43
47.24,59.53,937.46
16.3,100.33,595.67
2.33,73.57,304.33
4.31,85.07,368.72
17.32,88.35,573.78
27.2,95.93,742.51
16.28,76.98,526.54
12.03,7.81,256.14
43.57,7.45,726.5
46.98,96.86,1056.42
49.9,45.33,929.66
24.25,77.16,654.32
43.75,118.17,1056.03
21.36,89.82,649.16
12.32,17.7,284.03
15.17,31.86,369.7
2.58,7.06,109.84
19.52,83.16,593.67
11.3,114.25,567.78
47.26,58.75,933.15
30.86,24.21,586.5
30.58,63.96,704.03
11.92,25.3,302.8
39.09,45.26,767.84
3.36,116.45,456.14
34.95,22.7,638.68
40.88,30.81,757.16
29.85,71.71,702.07
5.03,105.91,440.46
44.49,114.9,1057.93
43.18,98.09,998.5
4.81,51.97,283.65
18.95,34.87,438.71
4.51,30.32,212.35
34.32,13.76,605.98
24.29,73.13,641.27
41.32,45.0,810.29
13.72,106.04,584.52
39.97,80.72,899.03
35.02,83.22,829.14
31.12,91.56,790.16
17.09,90.5,578.7
8.46,99.07,474.25
0.82,38.01,178.58
31.04,117.84,857.3
31.88,67.1,734.94
39.1,17.3,690.12
48.17,44.32,919.79
31.81,112.18,859.83
15.4,86.44,541.37
3.83,71.95,327.16
2.76,105.23,400.89
48.69,116.42,1123.3
38.03,7.83,646.37
1.6,42.22,203.8
34.32,56.28,733.16
14.04,119.67,610.64
8.6,96.4,457.91
34.84,30.39,665.39
32.9,36.42,649.08
47.57,22.37,836.06
21.28,78.43,603.89
20.18,36.53,462.08
44.76,31.44,817.7
11.05,8.58,238.47
43.29,59.42,890.28
48.43,26.34,858.4
38.66,102.15,940.63
38.17,77.02,855.29
39.93,60.38,835.98
6.31,19.4,201.48
10.43,61.53,398.08
3.68,71.93,323.69
15.86,57.35,456.95
1.08,13.33,105.71
30.2,38.54,603.63
34.9,103.91,876.67
12.48,118.47,592.33
7.55,62.37,355.63
28.2,6.12,495.67
16.66,64.54,492.3
2.14,14.04,123.37
20.15,20.26,420.45
40.13,28.02,740.73
8.79,17.03,236.2
2.06,112.66,422.75
3.07,67.25,299.88
35.85,97.2,882.81
17.3,98.7,613.58
22.89,79.01,631.63
26.56,89.13,711.13
43.65,30.21,791.53
48.81,43.74,918.15
33.11,62.29,729.31
27.99,87.71,733.26
10.38,83.23,455.94
4.07,8.53,136.29
43.48,88.62,951.91
37.26,53.93,761.24
49.39,9.61,807.68
43.42,71.55,931.37
24.59,105.44,731.8
45.08,53.5,892.48
45.66,29.23,809.62
31.34,77.63,748.28
35.93,109.54,921.2
9.39,32.32,287.74
12.74,105.14,563.05
22.54,64.2,587.37
8.59,49.97,323.04
48.49,34.69,870.01
38.79,20.05,700.03
48.51,57.19,949.95
17.18,100.32,600.85
21.83,33.6,485.43
8.77,24.28,256.55
2.32,89.69,352.73
42.29,97.65,997.6
29.48,104.85,804.66
13.85,11.56,291.86
26.79,112.71,795.77
16.15,63.33,481.85
2.56,22.06,156.0
23.01,64.29,590.06
24.7,81.69,672.95
10.49,82.44,449.94
48.51,15.8,819.9
43.47,25.37,793.05
34.78,101.38,877.16
25.11,76.05,657.19
43.51,70.62,924.62
11.18,80.77,465.47
20.0,79.89,591.45
49.97,10.54,824.9
48.87,51.79,941.44
28.57,89.92,751.47
43.99,51.48,874.57
40.49,92.66,923.85
39.99,55.09,813.9
27.45,5.66,479.33
16.57,47.14,446.99
19.73,56.6,511.38
12.26,47.92,383.86
31.16,58.3,699.29
19.3,104.28,636.04
1.77,44.24,214.06
19.32,50.86,497.41
30.59,92.96,806.95
40.74,87.58,930.85
12.55,111.61,574.69
3.48,112.46,436.27
24.55,34.53,520.38
14.6,40.34,390.72
15.91,75.19,521.38
35.95,36.35,691.44
9.47,83.33,441.05
9.48,65.39,386.03
28.58,34.5,584.06
48.16,60.61,956.37
2.65,77.81,327.59
47.59,74.19,986.9
11.79,29.39,315.15
30.74,52.27,659.6
39.14,36.6,741.72
41.22,53.73,823.9
31.38,56.95,693.48
29.54,24.32,569.65
11.23,16.01,267.58
1.67,78.83,314.54
11.98,49.95,387.94
29.93,62.13,679.83
21.7,87.52,648.52
34.78,118.99,933.95
14.07,14.13,308.38
4.74,107.83,442.0
11.72,45.82,359.57
3.94,64.69,303.88
44.06,79.85,935.66
26.88,42.3,587.22
49.71,81.11,1026.41
28.11,89.02,733.5
28.33,115.13,819.88
9.18,84.35,441.5
5.29,56.79,295.48
37.93,44.97,762.09
46.4,31.98,847.07
20.27,22.53,426.75
26.29,76.71,675.44
4.91,91.86,399.76
39.21,86.51,896.31
2.29,39.86,202.33
4.84,112.75,454.72
27.91,40.14,582.57
30.23,64.3,681.36
46.01,62.15,927.36
19.34,105.97,657.36
43.47,97.68,988.44
4.51,51.34,274.37
9.09,84.92,441.23
32.23,99.59,832.14
7.06,104.13,468.17
30.51,92.95,792.93
9.15,62.8,371.65
18.69,12.84,367.74
1.78,20.54,138.4
48.31,54.74,943.84
15.93,63.21,474.08
32.22,29.84,621.92
31.17,79.77,755.24
3.38,119.41,465.77
3.36,84.93,353.01
34.76,12.16,606.04
25.72,119.62,798.13
15.66,76.75,521.28
26.59,54.0,602.5
18.7,52.62,487.26
41.46,89.37,934.59
1.45,34.88,171.82
38.13,20.77,674.14
1.1,32.74,165.02
48.81,97.18,1073.53
5.93,68.02,345.0
22.99,102.1,700.96
7.93,42.34,293.21
37.0,59.74,773.46
23.24,95.28,673.4
44.66,114.86,1057.36
34.56,55.32,742.0
13.11,101.7,563.65
33.14,107.94,865.64
32.02,75.6,757.34
7.93,89.8,435.05
25.85,83.23,684.93
4.03,6.39,129.86
47.85,89.81,1023.21
17.81,94.09,593.6
33.24,26.3,634.94
13.62,7.41,278.52
4.57,116.3,472.11
31.42,48.92,663.0
10.68,18.96,270.63
32.37,65.98,737.57
2.58,116.38,435.02
49.01,74.22,1017.16
29.33,91.03,767.15
6.84,43.9,287.35
46.44,30.83,830.32
22.25,75.49,598.22
47.18,32.68,853.85
44.4,79.27,951.17
14.65,98.83,565.29
37.87,57.96,794.17
42.18,88.78,955.33
9.28,67.68,396.84
49.24,112.8,1131.5
40.98,29.55,748.44
25.54,101.68,740.42
29.72,63.46,697.86
15.23,69.98,492.07
32.0,92.53,810.67
8.42,58.08,349.81
40.1,28.46,730.61
27.98,89.3,728.78
18.09,95.14,609.47
27.93,5.6,481.94
47.92,47.31,916.63
16.68,22.12,369.21
49.82,47.36,935.88
22.71,88.04,656.24
19.88,52.45,510.26
34.93,5.37,581.06
39.81,15.69,702.99
29.62,60.31,671.42
29.21,69.57,698.15
28.25,74.4,704.09
13.86,99.88,560.84
25.16,13.86,468.18
39.35,86.38,895.31
39.54,64.49,827.02
16.75,54.91,465.08
4.89,30.37,217.71
49.92,112.31,1142.89
32.31,53.44,703.46
6.36,52.14,303.58
42.07,49.14,844.08
9.63,46.66,339.59
17.06,8.01,330.39
15.29,113.18,607.95
13.34,54.41,415.45
23.18,60.54,576.23
7.11,14.27,199.41
22.12,88.89,659.96
38.39,23.27,688.71
37.69,80.55,859.59
47.85,12.93,805.73
13.45,33.4,351.23
45.36,33.7,839.1
22.76,94.32,668.94
3.74,61.07,282.3
17.69,108.48,646.45
1.58,81.34,317.93
46.87,11.01,790.14
21.23,34.92,476.97
10.31,70.01,409.48
23.46,116.78,740.09
6.15,22.39,211.86
11.65,33.86,326.98
26.41,18.2,506.5
43.08,88.12,962.25
27.41,14.4,502.5
23.19,60.74,582.6
23.38,52.35,562.79
32.72,67.72,744.11
40.42,57.81,823.69
3.07,95.42,379.84
8.65,42.97,306.19
37.96,64.73,816.22
44.04,105.12,1023.37
12.32,56.89,409.05
27.17,62.25,643.8
5.72,80.53,375.78
38.89,115.91,992.35
10.59,65.18,408.11
29.09,77.98,715.48
40.0,50.54,802.16
8.32,85.03,433.56
39.77,41.43,768.26
9.62,107.81,515.64
32.89,22.49,623.42
4.63,106.48,434.2
40.28,63.1,842.83
49.21,81.81,1038.26
31.92,24.08,599.92
8.53,6.45,199.24
28.21,65.65,673.98
4.43,89.12,385.06
9.78,103.69,508.63
35.66,41.15,717.68
23.82,99.49,690.79
24.96,100.25,720.74
17.09,24.98,384.5
5.48,32.59,231.23
7.53,45.01,302.79
32.73,76.41,767.7
17.94,101.77,626.93
31.89,19.52,586.77
33.97,42.39,683.53
9.16,103.41,498.63
11.75,101.26,534.65
34.86,63.96,754.49
15.61,29.45,374.41
43.62,93.1,985.37
39.53,81.47,891.0
33.7,69.45,762.01
5.99,56.41,312.5
27.56,48.75,608.92
48.85,17.73,831.46
37.13,110.58,937.84
14.36,103.71,579.49
37.82,97.56,907.62
1.39,115.72,414.1
41.56,37.37,794.04
43.7,17.95,762.14
5.28,32.82,231.84
1.11,58.91,245.33
15.21,39.49,390.21
37.29,10.54,647.06
44.67,26.31,812.65
4.41,32.54,213.92
3.65,100.61,411.3
30.15,18.22,562.34
44.01,70.75,927.02
26.11,54.5,601.19
38.81,74.22,839.16
44.68,55.99,902.49
29.79,85.8,764.17
12.25,63.92,424.46
24.64,80.01,654.07
47.55,74.07,985.89
31.89,13.16,577.46
13.09,46.61,383.82
7.43,36.83,271.84
48.59,43.1,895.38
30.73,37.28,622.27
10.75,64.41,403.23
40.23,70.79,859.31
25.88,38.75,553.56
4.81,75.96,352.38
6.14,44.7,279.17
24.93,85.76,681.38
49.64,20.12,848.9
21.38,52.27,519.53
45.43,87.11,977.08
41.28,114.83,1022.76
41.15,5.18,679.49
13.25,11.85,284.72
30.39,83.96,755.7
23.08,47.44,533.72
6.49,53.18,306.49
4.47,45.8,254.65
47.12,81.89,991.54
29.89,6.17,524.15
31.99,110.03,868.14
36.34,18.86,653.55
45.17,12.64,756.72
1.08,53.53,227.04
15.1,60.89,456.65
6.59,69.24,356.9
17.49,88.85,584.51
34.78,54.44,738.16
33.81,36.67,673.84
22.6,96.81,674.87
41.21,103.62,977.7
16.28,71.95,514.19
18.87,74.12,561.14
19.04,24.19,412.77
21.81,21.4,439.99
8.15,7.93,197.57
32.47,78.24,767.43
20.78,40.79,483.06
34.02,74.66,774.6
49.41,57.21,957.08
34.57,21.16,629.04
25.52,115.86,780.27
19.52,9.48,370.91
8.42,7.69,198.63
37.93,57.73,796.58
6.25,114.93,487.1
16.04,107.17,619.29
49.21,38.17,906.0
48.08,49.79,906.11
27.3,22.73,521.74
27.91,67.3,674.83
22.3,39.77,506.33
13.34,27.38,331.68
13.88,116.14,603.76
28.11,44.94,599.96
22.48,77.02,619.74
24.7,51.2,580.42
31.22,28.15,614.55
20.06,9.54,389.56
11.77,115.86,565.5
45.52,88.05,1007.77
6.97,95.91,442.71
6.68,96.33,441.92
47.23,22.11,821.73
23.4,117.81,762.93
29.64,48.16,638.75
14.65,28.37,352.75
25.81,61.62,630.56
29.08,104.54,799.38
41.46,92.92,953.37
28.89,114.95,826.57
42.77,55.5,856.75
42.42,107.71,1015.42
31.52,111.53,832.18
1.45,59.84,254.09
34.78,20.46,639.08
15.32,46.25,415.93
10.93,115.11,564.1
0.94,119.75,427.39
15.08,6.65,297.67
37.02,100.93,902.26
37.79,93.43,901.01
33.1,93.1,828.7
4.89,61.08,309.87
4.34,51.87,268.88
17.77,17.76,369.3
40.51,113.98,980.66
4.3,62.57,302.85
39.83,86.31,891.81
12.0,37.32,339.35
40.27,111.86,997.84
16.41,59.79,474.6
11.69,78.65,461.58
18.21,79.5,563.21
6.58,107.2,456.1
29.5,76.85,724.38
4.05,83.5,364.17
41.22,97.46,951.33
27.85,64.82,664.81
13.93,62.12,443.04
14.57,20.39,327.99
37.56,41.52,739.08
0.51,63.78,248.17
42.05,5.44,698.15
12.72,90.2,508.03
18.33,36.1,431.93
42.21,41.04,808.39
21.97,109.64,709.84
19.18,115.87,687.13
24.94,49.58,569.5
31.82,85.94,792.7
48.32,92.52,1065.37
47.56,85.79,1014.47
39.2,79.08,872.47
2.89,46.41,232.58
21.92,57.64,555.04
10.84,47.4,353.0
38.49,52.9,784.89
41.2,102.79,982.45
23.88,106.22,718.58
11.18,82.95,459.3
7.26,79.94,401.98
37.06,41.3,721.12
35.8,27.91,681.75
44.57,38.05,828.17
6.02,64.32,332.72
13.75,101.08,558.21
24.9,51.49,572.22
26.78,73.44,671.89
48.19,64.69,964.38
34.04,40.86,688.07
26.3,117.24,801.94
6.71,6.95,172.65
6.45,35.54,254.87
1.37,38.73,186.93
17.73,47.75,466.31
0.57,39.48,177.28
42.43,7.71,709.94
44.98,95.07,1007.66
20.2,39.84,479.56
3.75,31.25,199.79
37.5,59.49,777.97
3.36,115.15,445.94
48.16,13.69,815.35
18.6,30.92,420.18
31.31,94.85,801.64
29.13,21.9,555.4
19.71,82.52,599.97
13.37,44.7,383.75
23.76,107.37,731.91
35.53,12.15,614.23
7.15,115.16,513.23
26.72,32.82,560.37
4.27,36.59,223.84
40.44,57.86,811.82
2.67,24.06,164.72
22.55,29.06,473.39
48.05,27.65,858.72
47.6,119.4,1104.27
22.13,73.26,604.51
4.12,76.57,342.96
37.99,23.59,690.75
24.11,87.61,679.33
33.5,23.71,615.56
28.47,93.74,755.9
0.95,46.06,202.43
46.35,31.3,828.66
16.42,102.52,607.51
36.58,15.97,643.79
24.3,81.18,657.6
6.37,38.22,262.15
49.67,10.16,824.03
38.17,47.75,776.67
45.96,114.36,1075.98
29.07,46.07,619.99
28.42,46.24,619.88
33.0,32.65,643.04
11.43,9.48,247.51
2.28,25.15,159.0
47.55,71.89,985.64
22.11,71.71,606.43
14.48,45.6,404.42
44.76,113.84,1060.91
39.13,59.78,823.81
25.13,28.54,506.15
16.91,103.33,615.87
10.75,13.18,244.26
40.64,101.12,964.88
16.94,84.77,562.21
8.0,105.73,493.0
27.19,37.48,567.41
6.83,93.04,431.22
0.5,52.91,214.77
48.67,31.0,873.35
15.56,39.95,405.99
37.22,102.57,905.49
21.42,39.84,496.68
40.93,25.89,734.34
18.86,108.72,655.12
29.74,81.02,749.67
4.38,67.62,315.91
39.14,72.13,857.95
47.63,9.88,799.26
15.18,87.16,531.08
38.07,16.79,684.82
18.78,112.29,689.36
41.46,85.18,924.47
46.09,84.88,1013.87
36.58,104.09,918.61
10.16,44.71,334.45
17.11,117.53,662.14
36.49,69.64,812.55
47.38,62.07,936.57
39.42,89.46,906.16
19.53,7.9,361.08
35.39,98.97,874.63
27.55,116.21,811.94
36.06,104.2,897.53
9.37,97.0,471.18
7.02,104.51,473.97
8.29,40.63,298.29
33.8,96.62,843.54
12.9,76.86,479.83
45.35,6.4,751.41
33.86,10.96,580.29
15.69,45.59,423.85
31.25,43.42,644.93
3.88,95.13,399.63
14.65,54.77,429.21
3.3,48.0,246.51
47.25,78.8,1006.27
10.35,53.11,369.86
37.67,16.66,658.62
21.88,117.74,724.42
3.84,64.65,300.86
37.03,86.02,855.53
21.43,44.85,498.43
10.66,60.55,389.0
13.79,38.06,371.8
30.38,13.85,547.63
4.24,114.41,454.33
30.15,76.72,730.42
32.6,35.75,651.49
35.48,75.15,798.38
15.99,36.18,402.44
47.36,17.18,814.14
8.16,113.64,516.15
10.53,72.57,427.11
35.21,83.21,825.88
29.35,34.11,592.32
22.79,115.12,745.5
9.83,82.33,442.96
48.86,16.72,832.86
5.08,91.06,398.68
45.77,54.91,897.34
36.31,6.04,602.93
29.68,75.53,712.46
35.85,15.51,638.65
10.36,105.91,519.03
13.9,33.47,356.43
3.6,57.78,279.23
33.81,14.33,609.07
47.6,101.43,1073.63
46.67,67.59,957.32
10.41,75.93,437.71
26.31,12.87,487.55
18.87,110.89,672.86
13.81,47.37,408.7
44.82,81.64,964.99
31.7,33.56,635.28
35.42,54.17,758.63
46.85,12.36,783.77
41.32,38.62,782.62
15.4,62.8,469.19
3.28,61.48,282.24
32.93,34.93,658.11
8.39,23.45,248.15
40.8,83.79,916.48
5.97,38.26,251.57
25.99,66.59,634.34
18.17,45.69,461.83
15.74,110.09,619.74
47.66,42.58,893.41
47.09,105.78,1049.86
5.58,50.16,284.68
10.1,103.76,528.09
34.01,101.36,867.86
22.24,75.21,612.93
8.44,82.47,426.37
11.87,18.52,281.0
8.68,5.23,197.8
25.99,23.56,515.22
4.64,7.2,140.2
5.71,30.57,224.5
26.2,74.89,658.47
11.37,115.38,563.49
31.01,69.04,710.81
27.27,85.09,700.89
35.26,24.74,635.91
43.59,77.61,936.71
26.86,18.27,503.01
17.19,21.43,373.09
34.76,28.72,663.2
10.61,63.4,398.41
21.25,7.08,400.21
31.61,84.19,768.08
13.04,6.15,264.79
41.89,99.46,993.91
42.24,60.79,875.47
22.84,26.1,467.95
42.82,106.49,1003.68
19.7,97.41,637.32
45.14,28.4,819.19
48.42,12.65,795.95
32.59,13.52,586.36
21.96,119.68,734.81
28.17,41.93,594.54
18.94,12.9,368.36
18.79,58.39,511.57
35.58,5.96,609.25
11.27,81.09,461.39
40.32,93.87,936.35
27.65,12.64,504.97
39.21,91.45,925.78
40.25,64.57,850.93
31.21,90.36,782.43
8.91,27.42,266.7
45.46,92.25,1013.32
30.06,80.23,743.0
31.8,22.99,601.58
23.96,87.39,665.88
16.03,32.77,386.22
11.14,53.86,378.74
9.8,13.85,240.7
34.96,49.02,725.15
39.91,36.27,765.27
34.77,35.37,678.82
16.56,35.99,408.62
9.95,84.88,455.99
13.6,81.13,490.59
40.84,94.47,939.42
4.88,85.38,381.55
18.73,54.72,496.84
2.43,81.69,326.33
16.49,108.26,620.08
45.1,119.56,1093.12
41.36,102.16,981.46
3.83,15.92,152.83
49.95,42.56,933.94
42.97,119.73,1060.19
12.45,9.64,262.97
1.61,46.45,212.98
39.3,70.11,859.02
11.98,6.65,246.37
38.34,76.73,858.6
28.39,76.83,714.05
43.29,72.5,918.18
37.96,55.86,787.17
35.52,49.76,735.74
46.45,111.85,1067.16
17.42,65.68,511.52
29.86,11.14,536.02
23.01,82.6,636.14
47.11,24.25,841.69
25.27,84.45,689.3
14.13,22.96,335.27
31.98,73.92,755.69
23.03,81.79,635.18
41.95,24.52,764.51
41.99,97.32,980.11
48.07,66.63,946.38
8.11,70.85,383.06
14.21,110.95,606.46
18.07,10.98,359.56
2.07,53.68,242.56
44.11,106.54,1023.45
33.12,29.29,638.67
14.68,97.3,557.58
49.86,8.45,825.33
48.68,58.48,963.48
42.45,12.18,719.55
48.78,98.95,1076.43
42.7,112.87,1026.99
4.02,29.24,196.54
11.85,58.95,402.61
8.79,21.94,246.96
48.67,92.32,1056.36
14.28,96.8,557.26
16.65,39.43,416.0
13.19,45.86,384.07
33.86,12.19,598.01
7.77,44.4,298.08
43.3,22.82,767.72
15.47,69.79,487.25
40.29,20.77,717.98
7.63,76.76,405.36
14.05,61.1,443.69
15.67,99.57,578.9
3.32,53.14,263.73
28.93,81.73,726.8
38.96,104.15,950.58
42.09,118.79,1017.72
44.53,47.72,860.69
37.21,61.65,781.96
24.42,101.4,727.36
20.64,42.75,486.06
22.97,92.68,670.95
47.6,25.18,837.02
28.6,71.62,709.26
11.88,68.56,433.19
18.92,81.09,578.32
9.67,37.04,302.81
11.33,26.03,296.41
46.39,116.54,1104.6
28.78,21.45,552.7
18.69,15.01,373.45
28.06,102.19,773.34
33.8,30.36,651.22
11.3,105.52,531.56
0.53,105.13,370.03
39.73,77.14,871.78
23.19,45.39,536.47
5.14,60.91,306.93
12.29,109.47,559.0
23.67,58.62,577.38
24.62,54.45,585.32
30.05,119.95,856.07
41.46,24.63,756.14
2.01,28.51,165.91
30.95,109.72,825.44
25.74,62.65,611.04
42.04,23.48,763.99
1.74,56.64,244.62
30.61,37.32,623.16
9.09,48.67,330.86
37.66,19.43,681.65
38.75,32.25,732.99
46.49,49.54,912.53
3.78,7.2,128.43
38.87,31.96,738.38
17.58,8.46,339.39
46.69,35.53,859.1
30.77,83.03,767.25
47.38,106.76,1076.06
37.08,36.91,723.21
49.51,40.87,928.74
17.33,14.08,346.42
17.5,100.98,613.02
46.81,26.36,836.55
3.56,15.62,149.97
8.56,73.45,399.09
12.71,59.16,405.62
33.26,91.39,826.91
45.27,99.0,1041.66
37.97,11.39,647.52
20.42,106.73,688.31
44.83,109.56,1063.07
13.95,26.92,336.25
9.64,44.34,331.63
6.43,89.52,413.94
26.81,38.11,555.65
30.01,54.89,664.36
8.64,18.41,236.97
17.53,89.3,581.46
33.1,112.13,885.22
33.02,108.31,881.3
20.28,42.58,481.35
